name,id,long_name,contact_person,phone_number,alt_phone_number,catchment_population,point_x,point_y,parent_location_id,parent_location_name,location_type_name,location_ownership_name,infrastructure_ids,infrastructure_names,service_ids,service_names,facility_type
Zambezi Regional Health Office,11981,,,,,,-17.4994,24.27878,10598,Katima Mulilo District,Facility,Public_MoHSS,,,,,Regional Health Office
Sibbinda Health Centre,10131,,,,,4111,-17.7851,23.82119,10598,Katima Mulilo District,Facility,Public_MoHSS,"1,2,5,6,7,9,11,13,14,16,17,19,20","Ambulances,Beds,Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Sesheke Clinic,10130,,,,,5156,-17.7518,23.39752,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,16,17,19","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses,Doctors","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Schuckmansburg Clinic,10129,,,,,1844,-17.5487,24.814999,10598,Katima Mulilo District,Facility,Public_MoHSS,"4,5,6,7,9,11,14,16,17,19","Mortuary,Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Vehicles,Enrolled Nurses,Registered Nurses,Doctors","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Sangwali Health Centre,10128,,,,,4791,-18.2649,23.63753,10598,Katima Mulilo District,Facility,Public_MoHSS,"1,2,5,6,7,9,11,13,14,16,17,19,20","Ambulances,Beds,Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Sachona Clinic,10127,,,,,2779,-17.9661,23.4469,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,11,16","Electricity,Running Water,Health Extension Workers,Phone Number,Enrolled Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Riverside Medical Centre,10631,,,,,,-17.501043,24.273701,10598,Katima Mulilo District,Facility,Private,,,,,0
North Star Alliance Clinic,10126,,,,,,-17.5048,24.268939,10598,Katima Mulilo District,Facility,Private,,,,,Clinic
Ngweze Clinic,10125,,,,,4596,-17.528,24.272217,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,16,17,20","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ngoma Clinic,10124,,,,,4159,-17.9202,24.70937,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,9,11,13,14,17,18","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Registered Nurses,Health Assistants","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Muyako Clinic,10122,,,,,1693,-17.8879,24.39995,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,7,11,16","Electricity,Running Water,Health Extension Workers,Phone Number,Enrolled Nurses","1,2,3,8,31,32,36,38,39,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Option B+,DNA EID Testing",Clinic
Mbalasinte Clinic,10121,,,,,2794,-17.7915,25.023485,10598,Katima Mulilo District,Facility,Public_MoHSS,"6,7,8,11,16","Running Water,Health Extension Workers,Back Up Generator,Phone Number,Enrolled Nurses","1,2,3,8,32,36,38,39,41,52","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+",Clinic
Mavuluma Clinic,10120,,,,,,-17.5153,24.294513,10598,Katima Mulilo District,Facility,Public_MoHSS,"5,6,9,11,13,16,17,20","Electricity,Running Water,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
