"Facity Name","id","Opening Date","Sector","Subdistrict","District","Province","District","Facility type","Ownership","LOCATION"
"A La Source DISP","1140","1/1/2000","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.937517 30.059391"
"Active Life Physiotherapy ltd","1664","8/17/2016","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Active Life Physiotherapy ltd","1664","8/17/2016","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"ADA  Dental CLIN","1115","1/1/2012","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.937141 30.099063"
"Advanced Dental Center Ltd","1568","3/27/2014","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Afak DISP","1576","1/1/2012","Kimihurura","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.944559 30.07741"
"Afya DISP","1142","12/1/1996","Kigali","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.945152 30.031933"
"Agahabwa CS","1554","5/26/2014","Kigembe","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Center","Public",""
"AGR Youth Friendly Center","1571","1/30/2015","Gikondo","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","VCT center","Private",""
"AHA Clinic","1281","1899-12-31","Kimihurura","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.975541 30.050509"
"Akabungo HP","1953","1/1/2017","Mugesera","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post","Public","-2.141382 30.359418"
"Akagarama HP","1954","1/1/2017","Rurenge","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post","Public","-2.123056 30.499201"
"Amahoro (Nyarugenge) DISP","1476","1/1/1900","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"Amahoro Disp","1365","1/1/1900","Nyamyumba","Gisenyi Sub District","Rubavu District","West","Rubavu District","Dispensary","Private",""
"Amani DISP","1300","1/1/1900","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Amizero (Kacyiru) DISP","1145","1/1/1970","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.935062 30.079915"
"Amizero (Kamonyi) DISP","524","1/1/2011","Runda","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Dispensary","Private",""
"AMIZERO (Mbazi) DISP","1477","1/1/1900","Mbazi","Kabutare Sub District","Huye District","South","Huye District","Dispensary","Private",""
"Amizero (Nyagatare) DISP","1370","1/1/1900","RUKOMO","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Amizero (Nyarugunga) DISP","1146","1/1/1970","Nyarugunga","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.972611 30.158045"
"AMIZERO (Nzahaha) DISP","1478","1/1/1900","Nzahaha","Mibilizi Sub District","Rusizi District","West","Rusizi District","Dispensary","Private",""
"Amizero Iwacu DISP","1144","8/1/2012","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.938149 30.049679"
"AMOUR DISP","1371","1/1/1900","Gahunga","Butaro Sub District","Burera District","North","Burera District","Dispensary","Private",""
"Anuphil DISP","525","1/1/2011","Gacurabwenge","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Dispensary","Private",""
"Apade CLIN","1116","8/1/2012","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private","-1.967532 30.097834"
"ARBEF HUYE","1556","8/25/1991","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","Medical Clinic","Private",""
"ARBEF Huye","1536","1/1/1900","Huye","Kabutare Sub District","Huye District","South","Huye District","Medical Clinic","Private",""
